Linear Interpolation 
Point 1: (0 ; 4 )
( 3.21717 ; 4.15226 )
( 3.25253 ; 4.15352 )
( 3.28788 ; 4.15502 )
( 3.32323 ; 4.15671 )
( 3.35859 ; 4.15857 )
( 3.39394 ; 4.16056 )
( 3.42929 ; 4.16265 )
( 3.46465 ; 4.16481 )
( 3.5 ; 4.167 )
Cubic splines :
S1(x) = 1.5033 *(x - 0.5)^3 + 2.255 *(x - 0.5)^2 + 0.1517 *(x - 0.5) + 3.7
S2(x) = -1.4915 *(x - 1.4)^3 + -1.7722 *(x - 1.4)^2 + 0.5862 *(x - 1.4) + 4.5757
S3(x) = 0.8784 *(x - 2.25)^3 + 0.4678 *(x - 2.25)^2 + -0.5226 *(x - 2.25) + 4.333
S4(x) = -0.1247 *(x - 3.5)^3 + 0 *(x - 3.5)^2 + 0.0621 *(x - 3.5) + 4.167
